"evt","SOA","Latency","Offset","evt_num","evt_fin","note"
"DI31",0,11822,0,31,"sound_NOVEL",NA
"D108",198,12020,198,108,"pic_novel","animal or thing?"
"DI42",184,12204,184,42,NA,"STD1nn or STD1nov"
"DI43",516,12720,516,43,NA,"STD2nn OR STD2nov repeated twice"
"DI44",517,13237,517,44,NA,"STD2nn OR STD2nov repeated twice"
"DI51",500,13737,500,51,"sound_NOTNOVEL",NA
"D106",316,14053,316,106,"pic_nn","animal or thing?"
"DI52",184,14237,184,52,NA,"STD1nn or STD1nov"
"DI53",516,14753,516,53,NA,"STD2nn OR STD2nov repeated twice"
"DI54",517,15270,517,54,NA,"STD2nn OR STD2nov repeated twice"
"DI51",500,15770,500,51,"sound_NOTNOVEL",NA
"D107",317,16087,317,107,"pic_nn","animal or thing?"
"DI52",183,16270,183,52,NA,"STD1nn or STD1nov"
"DI53",517,16787,517,53,NA,"STD2nn OR STD2nov repeated twice"
"DI54",516,17303,516,54,NA,"STD2nn OR STD2nov repeated twice"
"DI51",500,17803,500,51,"sound_NOTNOVEL",NA
"D127",317,18120,317,127,"pic_nn","animal or thing?"
"DI52",183,18303,183,52,NA,"STD1nn or STD1nov"
"DI53",517,18820,517,53,NA,"STD2nn OR STD2nov repeated twice"
"DI54",517,19337,517,54,NA,"STD2nn OR STD2nov repeated twice"
"DI51",500,19837,500,51,"sound_NOTNOVEL",NA
"D133",316,20153,316,133,"pic_nn","animal or thing?"
"DI52",184,20337,184,52,NA,"STD1nn or STD1nov"
"DI53",516,20853,516,53,NA,"STD2nn OR STD2nov repeated twice"
"DI54",517,21370,517,54,NA,"STD2nn OR STD2nov repeated twice"
"DI12",500,21870,500,12,"sound_NOVEL",NA
"D110",317,22187,317,110,"pic_novel","animal or thing?"
"DI42",183,22370,183,42,NA,"STD1nn or STD1nov"
"DI43",517,22887,517,43,NA,"STD2nn OR STD2nov repeated twice"
"DI44",516,23403,516,44,NA,"STD2nn OR STD2nov repeated twice"
"DIN8",500,23903,500,8,"sound_NOVEL",NA
"D115",317,24220,317,115,"pic_novel","animal or thing?"
"DI42",183,24403,183,42,NA,"STD1nn or STD1nov"
"DI43",517,24920,517,43,NA,"STD2nn OR STD2nov repeated twice"
"DI44",517,25437,517,44,NA,"STD2nn OR STD2nov repeated twice"
"DI51",500,25937,500,51,"sound_NOTNOVEL",NA
"D134",316,26253,316,134,"pic_nn","animal or thing?"
"DI52",184,26437,184,52,NA,"STD1nn or STD1nov"
"DI53",516,26953,516,53,NA,"STD2nn OR STD2nov repeated twice"
"DI54",517,27470,517,54,NA,"STD2nn OR STD2nov repeated twice"
"DI28",500,27970,500,28,"sound_NOVEL",NA
"D133",317,28287,317,133,"pic_novel","animal or thing?"
"DI42",183,28470,183,42,NA,"STD1nn or STD1nov"
