"evt","SOA","Latency","Offset","evt_num","evt_fin","note"
"DI11",500,260486,500,11,NA,"ignore"
"DIN1",500,260986,500,1,"stand",NA
"DIN1",500,261486,500,1,"stand",NA
"DI31",511,261997,511,31,"Dog_A_S?_Dog_V",NA
"DI11",500,262497,500,11,NA,"ignore"
"DIN1",500,262997,500,1,"stand",NA
"DIN1",500,263497,500,1,"stand",NA
"DI22",512,264009,512,22,"Cat_A_S?_Dog_V",NA
"DI11",500,264509,500,11,NA,"ignore"
"DIN1",500,265009,500,1,"stand",NA
"DIN1",500,265509,500,1,"stand",NA
"DI31",511,266020,511,31,"Dog_A_S?_Dog_V",NA
"DI11",500,266520,500,11,NA,"ignore"
"D202",205,266725,205,202,"Response",NA
"DIN1",295,267020,295,1,"stand",NA
"DI10",514,267534,514,10,NA,"not specified - std_aft/nov"
"DI11",500,268034,500,11,NA,"ignore"
"DIN1",500,268534,500,1,"stand",NA
"DIN1",500,269034,500,1,"stand",NA
"DI32",511,269545,511,32,"Dog_A_S?_Cat_V",NA
"DI11",500,270045,500,11,NA,"ignore"
"DIN1",500,270545,500,1,"stand",NA
"DI32",514,271059,514,32,"Dog_A_S?_Cat_V",NA
"DI11",500,271559,500,11,NA,"ignore"
"DIN1",500,272059,500,1,"stand",NA
"DIN1",500,272559,500,1,"stand",NA
"DI21",511,273070,511,21,"Cat_A_S?_Cat_V",NA
"DI11",500,273570,500,11,NA,"ignore"
"DIN1",500,274070,500,1,"stand",NA
"DIN1",500,274570,500,1,"stand",NA
