"evt","SOA","Latency","Offset","evt_num","evt_fin","note"
"DIN8",500,71342,500,8,"gap",NA
"DIN1",500,71842,500,1,"stand",NA
"DIN9",500,72342,500,9,"novel",NA
"DIN1",500,72842,500,1,"stand",NA
"DIN4",500,73342,500,4,"int",NA
"DIN1",500,73842,500,1,"stand",NA
"DIN7",500,74342,500,7,"loc2","2 = right?"
"DIN1",500,74842,500,1,"stand",NA
"DIN4",500,75342,500,4,"int",NA
"DIN1",500,75842,500,1,"stand",NA
"DIN3",500,76342,500,3,"freq2","2 = down?"
"DIN1",500,76842,500,1,"stand",NA
"DIN5",500,77342,500,5,"dur",NA
"DIN1",500,77842,500,1,"stand",NA
"DIN4",500,78342,500,4,"int",NA
"DIN1",500,78842,500,1,"stand",NA
"DIN6",500,79342,500,6,"loc1","1 = left?"
"DIN1",500,79842,500,1,"stand",NA
"DIN2",500,80342,500,2,"freq1","1 = up?"
"DIN1",500,80842,500,1,"stand",NA
"DIN8",501,81343,501,8,"gap",NA
"DIN1",500,81843,500,1,"stand",NA
"DIN3",500,82343,500,3,"freq2","2 = down?"
"DIN1",500,82843,500,1,"stand",NA
"DIN4",500,83343,500,4,"int",NA
"DIN1",500,83843,500,1,"stand",NA
"DIN5",500,84343,500,5,"dur",NA
"DIN1",500,84843,500,1,"stand",NA
"DIN9",500,85343,500,9,"novel",NA
"DIN1",500,85843,500,1,"stand",NA
"DIN8",500,86343,500,8,"gap",NA
"DIN1",500,86843,500,1,"stand",NA
"DIN9",500,87343,500,9,"novel",NA
"DIN1",500,87843,500,1,"stand",NA
"DIN4",500,88343,500,4,"int",NA
"DIN1",500,88843,500,1,"stand",NA
"DIN7",500,89343,500,7,"loc2","2 = right?"
"DIN1",500,89843,500,1,"stand",NA
"DIN9",500,90343,500,9,"novel",NA
"DIN1",500,90843,500,1,"stand",NA
"DIN8",500,91343,500,8,"gap",NA
"DIN1",500,91843,500,1,"stand",NA
"DIN5",500,92343,500,5,"dur",NA
"DIN1",500,92843,500,1,"stand",NA
"DIN9",500,93343,500,9,"novel",NA
"DIN1",500,93843,500,1,"stand",NA
"DIN2",500,94343,500,2,"freq1","1 = up?"
"DIN1",500,94843,500,1,"stand",NA
"DIN5",500,95343,500,5,"dur",NA
"DIN1",501,95844,501,1,"stand",NA
"DIN8",500,96344,500,8,"gap",NA
"DIN1",500,96844,500,1,"stand",NA
"DIN6",500,97344,500,6,"loc1","1 = left?"
"DIN1",500,97844,500,1,"stand",NA
"DIN3",500,98344,500,3,"freq2","2 = down?"
"DIN1",500,98844,500,1,"stand",NA
"DIN8",500,99344,500,8,"gap",NA
"DIN1",500,99844,500,1,"stand",NA
"DIN3",500,100344,500,3,"freq2","2 = down?"
"DIN1",500,100844,500,1,"stand",NA
"DIN8",500,101344,500,8,"gap",NA
"DIN1",500,101844,500,1,"stand",NA
"DIN9",500,102344,500,9,"novel",NA
"DIN1",500,102844,500,1,"stand",NA
"DIN5",500,103344,500,5,"dur",NA
"DIN1",500,103844,500,1,"stand",NA
"DIN4",500,104344,500,4,"int",NA
"DIN1",500,104844,500,1,"stand",NA
"DIN5",500,105344,500,5,"dur",NA
"DIN1",500,105844,500,1,"stand",NA
"DIN8",500,106344,500,8,"gap",NA
