"evt","SOA","Latency","Offset","evt_num","evt_descr","note"
"DIN4",180,474344,180,4,"std_timbre","standard for timbre"
"DIN1",710,475054,710,1,"std_key","standard for key"
"DIN3",360,475414,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,475774,360,2,"std_rhythm","standard for rhythm"
"DI10",180,475954,180,10,"rhythm2","rhythm change (short tone)"
"DI14",180,476134,180,14,NA,NA
"DIN4",360,476494,360,4,"std_timbre","standard for timbre"
"DIN1",710,477204,710,1,"std_key","standard for key"
"DIN8",360,477564,360,8,"timbre1","timbre (middle of melody)"
"DIN2",360,477924,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,478104,180,2,"std_rhythm","standard for rhythm"
"DIN6",180,478284,180,6,"melody","melody change"
"DI15",360,478644,360,15,NA,NA
"DIN5",710,479354,710,5,"key","key change"
"DI23",360,479714,360,23,NA,NA
"DI22",360,480074,360,22,NA,NA
"DI22",180,480254,180,22,NA,NA
"DIN8",180,480434,180,8,"timbre1","timbre (middle of melody)"
"DIN4",360,480794,360,4,"std_timbre","standard for timbre"
"DIN1",710,481504,710,1,"std_key","standard for key"
"DIN3",360,481864,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"D101",360,482224,360,101,"rhythm1","rhythm change (long tone)"
"DI13",360,482584,360,13,NA,NA
"DI13",180,482764,180,13,NA,NA
"DIN4",180,482944,180,4,"std_timbre","standard for timbre"
"DIN1",710,483654,710,1,"std_key","standard for key"
"DIN3",360,484014,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN3",360,484374,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,484734,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,484914,180,2,"std_rhythm","standard for rhythm"
"DIN4",180,485094,180,4,"std_timbre","standard for timbre"
"DIN5",710,485804,710,5,"key","key change"
"DI23",360,486164,360,23,NA,NA
"DI10",360,486524,360,10,"rhythm2","rhythm change (short tone)"
"DI14",180,486704,180,14,NA,NA
"DI13",360,487064,360,13,NA,NA
"DI24",180,487244,180,24,NA,NA
"DIN1",710,487954,710,1,"std_key","standard for key"
"DIN3",360,488314,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,488674,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,488854,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,489214,360,2,"std_rhythm","standard for rhythm"
"DIN4",180,489394,180,4,"std_timbre","standard for timbre"
"DIN1",710,490104,710,1,"std_key","standard for key"
"DIN3",360,490464,360,3,"std","standard for mistuning, rhythm, timbre, melody"
