"evt","SOA","Latency","Offset","evt_num","evt_descr","note"
"DI10",180,611283,180,10,"rhythm2","rhythm change (short tone)"
"DI14",170,611453,170,14,NA,NA
"DIN4",360,611813,360,4,"std_timbre","standard for timbre"
"DIN1",710,612523,710,1,"std_key","standard for key"
"DIN7",360,612883,360,7,"tune","mistuning"
"DI13",350,613233,350,13,NA,NA
"DIN2",180,613413,180,2,"std_rhythm","standard for rhythm"
"DIN3",180,613593,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,613953,360,4,"std_timbre","standard for timbre"
"DIN5",710,614663,710,5,"key","key change"
"DI10",360,615023,360,10,"rhythm2","rhythm change (short tone)"
"DI13",180,615203,180,13,NA,NA
"DIN3",180,615383,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN3",360,615743,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,616103,360,4,"std_timbre","standard for timbre"
"DIN1",710,616813,710,1,"std_key","standard for key"
"DIN2",360,617173,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,617353,180,2,"std_rhythm","standard for rhythm"
"DIN3",180,617533,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN7",360,617893,360,7,"tune","mistuning"
"DI15",360,618253,360,15,NA,NA
"DIN5",700,618953,700,5,"key","key change"
"DI22",360,619313,360,22,NA,NA
"DI22",180,619493,180,22,NA,NA
"DI23",180,619673,180,23,NA,NA
"DI23",360,620033,360,23,NA,NA
"DIN9",360,620393,360,9,"timbre2","timbre (end of melody)"
"DIN1",710,621103,710,1,"std_key","standard for key"
"DIN2",360,621463,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,621643,180,2,"std_rhythm","standard for rhythm"
"DIN7",180,621823,180,7,"tune","mistuning"
"DI14",360,622183,360,14,NA,NA
"DIN4",360,622543,360,4,"std_timbre","standard for timbre"
"DIN5",710,623253,710,5,"key","key change"
"DI22",360,623613,360,22,NA,NA
"DI22",180,623793,180,22,NA,NA
"DI23",180,623973,180,23,NA,NA
"DI23",360,624333,360,23,NA,NA
"DI24",360,624693,360,24,NA,NA
"DIN1",710,625403,710,1,"std_key","standard for key"
"DIN2",360,625763,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,625943,180,2,"std_rhythm","standard for rhythm"
"DIN3",180,626123,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN7",360,626483,360,7,"tune","mistuning"
"DI15",360,626843,360,15,NA,NA
"DIN5",710,627553,710,5,"key","key change"
"DI22",360,627913,360,22,NA,NA
"DI22",180,628093,180,22,NA,NA
"DI23",180,628273,180,23,NA,NA
"DI23",360,628633,360,23,NA,NA
"DIN9",360,628993,360,9,"timbre2","timbre (end of melody)"
"DIN1",710,629703,710,1,"std_key","standard for key"
"DIN2",360,630063,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,630243,180,2,"std_rhythm","standard for rhythm"
"DIN8",180,630423,180,8,"timbre1","timbre (middle of melody)"
"DIN3",360,630783,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,631143,360,4,"std_timbre","standard for timbre"
"DIN1",710,631853,710,1,"std_key","standard for key"
"DIN2",360,632213,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,632393,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,632753,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,632933,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,633293,360,4,"std_timbre","standard for timbre"
"DIN1",710,634003,710,1,"std_key","standard for key"
